Name,Author,Created,Vendor,CVE,ExpectedLocations,VulnerableExecutablePath,VulnerableExecutableType,VulnerableExecutableAutoElevated,VulnerableExecutablePrivilegeEscalation,VulnerableExecutableCondition,VulnerableExecutableSHA256,VulnerableExecutableEnvironmentVariable,Resources,Acknowledgements,URL
"aclui.dll","Wietze Beukema","2021-12-07","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\shrpubw.exe","Sideloading","","","","","","https://www.hexacorn.com/blog/2016/03/10/beyond-good-ol-run-key-part-36/, https://www.contextis.com/en/blog/dll-search-order-hijacking, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Adam (@hexacorn), Lampros Noutsos (@lampnout), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/aclui.html"
"aclui.dll","Wietze Beukema","2021-12-07","Microsoft","","%SYSTEM32%, %SYSWOW64%","%PROGRAMFILES%\Windows Kits\10\bin\%VERSION%\x86\oleview.exe","Sideloading","","","","","","https://www.hexacorn.com/blog/2016/03/10/beyond-good-ol-run-key-part-36/, https://www.contextis.com/en/blog/dll-search-order-hijacking, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Adam (@hexacorn), Lampros Noutsos (@lampnout), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/aclui.html"
"activeds.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\applysettingstemplatecatalog.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/activeds.html"
"activeds.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\agentservice.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/activeds.html"
"activeds.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\dsadd.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/activeds.html"
"activeds.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\dsget.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/activeds.html"
"activeds.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\dsmod.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/activeds.html"
"activeds.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\dsrm.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/activeds.html"
"activeds.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\gpfixup.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/activeds.html"
"adsldpc.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\agentservice.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/adsldpc.html"
"adsldpc.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\netsh.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/adsldpc.html"
"adsldpc.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\sppextcomobj.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/adsldpc.html"
"aepic.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\psr.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/aepic.html"
"apphelp.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\compmgmtlauncher.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2020CrowdStrikeGlobalThreatReport.pdf, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/apphelp.html"
"apphelp.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\sdbinst.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2020CrowdStrikeGlobalThreatReport.pdf, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/apphelp.html"
"apphelp.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%WINDIR%\explorer.exe","Search Order","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://go.crowdstrike.com/rs/281-OBQ-266/images/Report2020CrowdStrikeGlobalThreatReport.pdf, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/apphelp.html"
"applicationframe.dll","Wietze Beukema","2022-05-21","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\applicationframehost.exe","Environment Variable","","","","","SYSTEMROOT","https://wietze.github.io/blog/save-the-environment-variables","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/applicationframe.html"
"appvpolicy.dll","Chris Spehn","2021-08-16","Microsoft","","%SYSTEM32%","%SYSTEM32%\appvclient.exe","Sideloading","","","","","","https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/appvpolicy.html"
"appxalluserstore.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\lpremove.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/appxalluserstore.html"
"appxdeploymentclient.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\lpremove.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/appxdeploymentclient.html"
"appxdeploymentclient.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\systemsettingsadminflows.exe","Sideloading","true","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/appxdeploymentclient.html"
"archiveint.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\tar.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/archiveint.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\dsquery.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\filescrn.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\msconfig.exe","Sideloading","true","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\msdt.exe","Sideloading","true","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\msinfo32.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\perfmon.exe","Sideloading","true","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\quickassist.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\storrept.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\vds.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\vdsldr.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\vssadmin.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"atl.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\wfs.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/atl.html"
"audioses.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\osk.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/audioses.html"
"auditpolcore.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\auditpol.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/auditpolcore.html"
"authfwcfg.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\netsh.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/authfwcfg.html"
"authz.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\easinvoker.exe","Sideloading","true","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/authz.html"
"authz.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\vssvc.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/authz.html"
"authz.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\whoami.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/authz.html"
"avrt.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\osk.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","Wietze (@wietze)","https://hijacklibs.net/entries/microsoft/built-in/avrt.html"
"batmeter.dll","Chris Spehn","2021-08-17","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\mblctr.exe","Sideloading","","","","","","https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/batmeter.html"
"bcd.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\bootim.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/bcd.html"
"bcd.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\cidiag.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/bcd.html"
"bcd.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\genvalobj.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/bcd.html"
"bcd.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\mdsched.exe","Sideloading","true","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/bcd.html"
"bcd.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\msconfig.exe","Sideloading","true","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/bcd.html"
"bcd.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\recdisc.exe","Sideloading","true","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/bcd.html"
"bcd.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\recoverydrive.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/bcd.html"
"bcd.dll","Wietze Beukema","2021-02-27","Microsoft","","%SYSTEM32%, %SYSWOW64%","%SYSTEM32%\resetengine.exe","Sideloading","","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows, https://securityintelligence.com/posts/windows-features-dll-sideloading/, https://github.com/xforcered/WFH","Wietze (@wietze), Chris Spehn (@ConsciousHacker)","https://hijacklibs.net/entries/microsoft/built-in/bcd.html"
